passed,delay,region,neutralization,decay,truncation,sharpe,fitness,turnover,weight,subsharpe,correlation,universe,link,code
9,1,CHN,SECTOR,10,0.1,2.92,2.84,49.37,PASS,2.74,-1,TOP3000,https://platform.worldquantbrain.com/alpha/EwZ7eMG,open - close
2,1,USA,SUBINDUSTRY,10,0.1,0.13,0.04,0.79,FAIL,0.08,-1,TOP3000,https://platform.worldquantbrain.com/alpha/37MbevP,open + close
